node,count,degree
spread of disease,1,0
effectiveness and efficiencies,1,0
computing algorithms,1,0
socio-economic problems,1,0
data justice,1,0
online recruitment,1,0
political dimensions,1,0
datafication,2,0
surveillance,1,0
logistic regression models,1,0
multiplicative effects,1,0
electronic assessment,1,0
chief executive officer,1,0
socio-demographic factors,3,0
debt burden,1,0
technological skills,1,0
services development,1,0
computer assisted,1,0
allocation approach,1,0
indigenous knowledge,1,0
institutional factors,2,0
‌mobile money,1,0
mobile loan,1,0
vulnerable groups,2,0
protection motivation theory,2,0
security behavior,2,0
partial least square structural equation modeling,1,0
continuance use,2,0
reserve bank of india,4,0
brain injury,2,0
economic decision making,1,0
urban africa,1,0
programming,1,0
reference,1,0
international,1,0
solidarity tax,1,0
exchange rate,4,0
social relations,3,0
chivi,1,0
ecocash,2,0
social conflict,1,0
masvingo,1,0
reform,2,0
elections,1,0
rupees,1,0
bjp,1,0
social effects,1,0
demonetisation,3,0
modi,1,0
subject formation,1,0
algorithmic governance,3,0
lahore,1,0
sind,1,0
punjab [pakistan],1,0
karachi,1,0
social reproduction,2,0
west bengal,3,1
affective labour,1,0
intermediaries,3,0
adults use,1,0
secured lending,1,0
innovative finance,1,0
crypto-currency,2,0
pretoria,1,0
johannesburg,1,0
business success,2,0
gauteng,1,0
eastern cape,2,0
free state,1,0
limpopo,1,0
finscope south africa,1,0
sub-sahara,1,0
voting,1,0
afrobarometer,1,0
voting behavior,1,0
active labour market programmes,1,0
skills training,1,0
labor policy,1,0
investors,1,0
borrower,1,0
capital structure,7,0
discourse analysis,2,0
self-preservation,1,0
payday loans,8,1
workfarism,1,0
informal debt relations,1,0
controversy,1,0
economic cycle,1,0
assam,4,0
tea garden worker,1,0
college students,2,0
food habits,1,0
meal plans,1,0
diet surveys,1,0
fast foods,2,0
states,2,0
class bias,1,0
elites,1,0
state lending,1,0
nedco,1,0
persons of african descent,1,0
trinidad and tobago,1,0
network,1,0
niger,1,0
cameroun,1,0
inclusion financière perçue,1,0
perceived financial inclusion,1,0
bank deposit,3,0
dépôt bancaire,1,0
d24,1,0
formalization,2,0
g31,1,0
e26,1,0
social collateral,2,0
generative theory of social cohesion,1,0
service providers,2,0
mobile payment usage,2,0
rational and irrational herding,1,0
self-herding,1,0
disadvantaged students,1,0
cognitive load,1,0
qualitative methods,1,0
exposure characteristics,1,0
start-ups,3,0
industrial agglomeration,1,0
semi-endogenous growth,1,0
financing decision-making,1,0
financial ambidexterity,1,0
enclave,1,0
complex settings,1,0
immigrant entrepreneurship,1,0
entrepreneurial finance,10,3
financing uncertainty,1,0
savings and credit groups (scgs),1,0
social embeddedness theory,1,0
embeddedness,1,0
household wealth,1,0
social-structure,1,0
us military,1,0
predatory lending,2,0
agricultural commodity supply chain,1,0
agricultural commodities,1,0
context-intervention-mechanism-outcome analyse,1,0
cimo analysis,1,0
transaction cost economics,1,0
supply chain finance,3,1
economic perspective,1,0
rural planning,1,0
under-banked and unbanked,1,0
startup,3,0
social nudging,1,0
forecasting method,1,0
diffusion models,1,0
q55,1,0
technology forecasting,1,0
g17,1,0
o35,1,0
eps,1,0
033,1,0
spatial spillover,2,0
debt cost,1,0
corporate cash holdings,1,0
disintermediation,2,0
stock-flow consistent (sfc) models,1,0
adolescent behavior,1,0
orphans and vulnerable children,2,0
sexual abstinence,1,0
longitudinal studies,4,11
gender based violence,2,0
purposive sample,1,0
safe sex,2,0
economic strengthening,3,1
right to work,1,0
observational studies as topic,1,0
retention in care,1,0
cohort studies,3,5
sample size,3,4
librarian,1,0
economic efficiency,5,0
crd42020200360,1,0
internal validity,2,0
medication compliance,3,1
intervention study,2,0
evidence based practice,4,3
medication adherence,2,0
randomized controlled trial (topic),5,10
randomized controlled trials as topic,5,10
financial interventions,1,0
cinahl,1,0
cd4 lymphocyte count,2,0
drawing,2,0
documentation,1,0
mental capacity,2,0
local people,1,0
rural community,8,3
market access,3,0
poetic inquiry,1,0
ict and empowerment,1,0
unorganized retailer,1,0
m-payment adoption,1,0
"irwin brown, kweku-muata osei-bryson and peter meso",2,0
unorganised retailers,1,0
regulatory influence,1,0
technology ecosystem,2,0
collaborative practices,1,0
innovative practices,1,0
ecosystem levels,1,0
critical analysis,1,0
gender and diversity,4,3
labour and livelihoods – microfinance,1,0
social sector,1,0
"labour and livelihoods–microfinance, economics, poverty reduction",1,0
self help,9,6
governance and public policy,1,0
bodoland,2,0
labour and livelihoods–microfinance,3,0
labor relations,2,0
"labour and livelihoods–poverty reduction, microfinance",1,0
rights,2,0
technology–ict,2,0
labour and livelihoods–poverty reduction,3,3
east asia,1,0
melinda,1,0
social development,10,3
aid–development policies,1,0
environment (built and natural)–agriculture,1,0
aid policy,3,0
civil society,1,0
developmental policies,1,0
region: sub-saharan africa,1,0
small-scale enterprise,1,0
savings and loans schemes,1,0
insecurity,2,0
o23,1,0
h20,1,0
democracy,4,1
permanent income hypothesis,2,0
o11,3,1
bank runs,1,0
behavioural approach,1,0
mobile apps,2,0
assistive technology,3,0
barrier-free,1,0
legal safeguards,1,0
historical materialism,1,0
science and technology studies,1,0
assemblage,1,0
indebtedness,9,2
policy diffusion,1,0
spread of norms,1,0
recursivity,1,0
ideas,1,0
varieties,1,0
government networks,1,0
epistemic authority,1,0
financial stability board,1,0
critical political economy,1,0
subversion,1,0
dispositif,1,0
transnational coalitions,1,0
global governance,1,0
norm emergence,1,0
ambiguity,2,0
sociology of money,1,0
coloniality,1,0
racial capitalism,2,0
cnn,1,0
imagechain,1,0
rcnn,1,0
68m25,1,0
user authentication,2,0
68u10,1,0
opencv,1,0
68t10,1,0
68p27,1,0
68t07,1,0
deepface,2,0
financial inclusion and sdgs,1,0
pacific island countries,1,0
governmentality,3,0
youth work,1,0
mass investment culture,1,0
female-owned businesses,1,0
organizational assessment,1,0
construction contractors,2,0
public-private partnership,4,0
structural equivalence,1,0
mergers and acquisitions,3,0
program & project management,1,0
project networks,1,0
organizational performance,1,0
network role,1,0
public-private partnership (ppp),1,0
organizational & performance assessment,1,0
public/private partnerships,2,0
programme (project) management,1,0
network roles,1,0
continuing education,1,0
college,3,0
pretest posttest design,2,0
administrative personnel,2,0
social work education,1,0
similarity/dissimilarity,1,0
innovation adoption,1,0
financial crimes,2,0
trade integration,1,0
currency attributes,1,0
tokens,1,0
economies of scale,1,0
store of value,1,0
clearing time,1,0
price transparency and flexibility,1,0
utility,3,0
unit of account,1,0
unbanked and underbanked,1,0
medium of exchange,2,0
single global currency,1,0
international mobility,1,0
mundell,1,0
diversification,6,0
optimal currency scope,1,0
pseudonymity,1,0
hedge,1,0
geographic borders,1,0
optimal currency area,1,0
volatility,3,0
protectionism,1,0
single global cryptocurrency,1,0
vector error correction model,2,0
cointegration analysis,2,0
vector,1,0
error correction,2,0
random effect model,1,0
fixed effect model,4,0
johansen cointegration approach,1,0
consumer adoption,3,1
customers,5,1
asset limits (asset tests),1,0
tanf,1,0
welfare reform,1,0
cultural competence,2,0
cultural sensitivity,1,0
cultural competency,2,0
undocumented,1,0
banking habits,2,0
latino,2,0
east lost angeles,1,0
political education,1,0
critical praxis,1,0
feminism,3,0
consciousness,3,2
addiction services,1,0
addiction treatment,1,0
finances,3,0
drug dependence,1,0
substance use disorders,1,0
substance-related disorders,1,0
eitc-recipient families,1,0
banked versus unbanked status,1,0
affordable accounts,1,0
welfare-to-work,1,0
to-work,1,0
young-adults,2,0
safety net,1,0
single mothers,1,0
program participation,1,0
self-sufficiency framework,1,0
assistance dynamics,1,0
economic self-sufficiency,1,0
pmjjby,2,0
welfare economy,1,0
systematic literature review (slr),2,0
impact of microfinance,1,0
digital yuan,1,0
global trade,2,0
internet banking adoption,3,1
cra,1,0
black banking,1,0
banking deserts,1,0
loan-to-deposit ratio,1,0
threshold estimation,2,0
south east europe,1,0
dynamic panel data method,1,0
operational efficiency,3,0
financial sustainability,13,3
network dea,1,0
transition country,1,0
export upgrading,1,0
export,3,0
city heterogeneity,1,0
market effect,1,0
innovation effect,1,0
entrepreneurial farmers (e.f.s),1,0
subjective well-being (s.w.b.),1,0
overbanked,1,0
liberalization,2,0
split loyalty,1,0
poland [central europe],3,0
multiple bank account ownership,1,0
egyptian banking sector,1,0
sdg index,2,0
b26,1,0
i30,7,4
g10,3,1
karnataka,4,0
dakshina kannada,2,0
madikeri,1,0
shgs,5,2
panel data evidence,1,0
instrumental variable approach,1,0
digital financial products usage,1,0
partial least squares,3,0
adjustable rate mortgages,1,0
recent homeowner,1,0
moran’s i,1,0
regional aggregation,1,0
comprehensive evaluation,1,0
relative index,1,0
stock market,8,3
club convergence,1,0
shopping activity,1,0
climate risk,1,0
green complexity index,1,0
financial overconfidence,1,0
mortgage delinquency,1,0
multidimensional relative poverty,1,0
financially capable behaviours,1,0
credit unions,10,2
smartphone apps,2,0
randomised control trial,2,0
banking conditions,1,0
covid-pandemic,1,0
innovative credit scoring,1,0
financial ecology,1,0
bank branch closure,1,0
alternative financial services provider,1,0
institutional analysis,1,0
inheritance,2,0
asset markets,1,0
property-rights,2,0
care work,1,0
need,1,0
women's self-employment,1,0
post-keynesian macroeconomics,1,0
rural pakistan,1,0
investment climate,1,0
village and small-town enterprises,1,0
new labour,1,0
international labour organization,1,0
gramsci,1,0
political theory,1,0
behavioural economics,3,0
material culture,2,0
commodity,1,0
systems of provision,1,0
state intervention,1,0
institutional reform,2,0
ramallah,1,0
banking crises,1,0
inflow,1,0
soft information,2,0
trade-offs,1,0
loan officer,1,0
repayment capacity,2,0
class,2,0
rural sector,2,0
social assistance payment,1,0
religious belief,2,0
gross capital formation,1,0
global financial crisis,2,0
consumer spending,3,0
population,7,0
least square analysis,2,0
ucla loneliness scale,1,0
exercise,4,7
displacement data,1,0
unhcr,1,0
the unbanked,1,0
national identity,1,0
humanitarianism,1,0
surveillance capitalism,2,0
world bank group,1,0
accenture,1,0
o30,3,0
development economics,4,0
women-owned businesses,1,0
market failures,1,0
aged women,1,0
psychosocial support,2,0
psychosocial care,1,0
social work practice,2,0
non-native discrimination,1,0
rural discrimination,1,0
intra-european migration,1,0
altruism and moral obligations,1,0
bosnia and herzegovina,6,0
portugal,1,0
alterity‌,1,0
welfare provision,2,0
digital borders,1,0
asylum,1,0
asylum seeker,1,0
border region,2,0
disparities,3,0
health care need,2,0
medicine,1,0
costs and cost analysis,2,0
cost-related non-adherence,1,0
social security payday,1,0
scarcity,1,0
nut,1,0
women's groups,1,0
cooperative sector,3,0
evaluation methodology,1,0
vitellaria paradoxa,1,0
value-adding,1,0
plant product,1,0
malia,1,0
womens organization,1,0
information access,2,0
new agricultural operating entities,1,0
spatiotemporal analysis,7,2
innovative activities,1,0
debtfare,1,0
british expansion,1,0
indigeneity,1,0
empire,1,0
usages,2,0
sovereign default risk,1,0
debt trap theory,1,0
china's infrastructure lending,1,0
value co-creation,2,0
co-production,1,0
slum,2,0
randomized conjoint experiment,1,0
inclusive deposit product,1,0
financial markets development,1,0
mauritius,1,0
demand for financial services/products,1,0
mascarene islands,1,0
economic theory,4,0
collateral,3,0
loan repayment,3,0
easternsub-saharan africa,1,0
rural society,4,1
network ties,1,0
rural uganda,9,3
seemingly unrelated probit,1,0
institutional pillars,2,0
rural poor,2,0
microfinance deposit-taking institutions,1,0
twenty first century,3,0
exploratory research design,1,0
the poor,3,1
human psychology,1,0
digital financial ecosystem,1,0
cultural norms,1,0
african financial inclusion index,1,0
institutional failures,1,0
contract enforceability,1,0
financial frictions,1,0
small businesses,3,0
anambra,1,0
female entrepreneurs,4,0
financial freedom,1,0
mediation,6,0
perceived benefits,2,0
mobile finance,2,0
threshold level,1,0
liability,3,0
multiple regression,3,0
meetings,1,0
incentives,2,0
emotional perceived value,1,0
financial perceived value,1,0
retail digital financial services,1,0
labor supply,1,0
gender finance gap,1,0
time use,1,0
counting process,1,0
mean variance,1,0
instantaneous mean-variance risk,1,0
switching behaviors,2,0
no-good-deal pricing,1,0
multivariate counting process,1,0
sharpe ratios,1,0
instantaneous sharpe ratio,1,0
stochastic intensity,1,0
model ambiguity,1,0
customer relationship marketing,1,0
student bank accounts,1,0
marketing ethical values,1,0
conversion,1,0
retention,2,0
severe mental illness,1,0
criminal justice involvement,1,0
mental health court,1,0
psychosocial intervention,2,0
asia and pacific,1,0
human resources,2,0
china’s regional financial inclusion,1,0
dynamic shift-share spatial model,1,0
improved hotelling model,1,0
chinese provincial data,1,0
panel cointegration,2,0
economically vulnerable populations,1,0
o53,1,0
j11,1,0
r20,2,0
middle east and north africa,3,0
frdd,1,0
structural-change,1,0
regression discontinuity designs,1,0
open government data,1,0
credit availability,3,0
corporate financing constraints,1,0
context effects,1,0
choice architecture,1,0
retail products,1,0
investment knowledge,4,0
meme stocks,1,0
ogun,1,0
ordinary least square,1,0
university sector,4,1
fruit expenditure,1,0
malus x domestica,1,0
asset development,1,0
foster care,2,0
financial capability employment,1,0
aging out,1,0
employees,1,0
communal systems,1,0
health access,2,0
universal coverage,2,0
newborn,4,13
developed country,5,3
health equity,2,0
identity theft supplement (its) survey,1,0
preventive behaviours,1,0
advocacy group,1,0
community program,2,0
community care,5,9
injection drug user,1,0
strategic planning,3,0
community mobilisation,1,0
male homosexuality,2,0
key populations,1,0
"homosexuality, male",2,0
sexual assault,1,0
precarity,3,0
mobile loans,2,0
ethnographic methods,1,0
disadvantaged population,1,0
coping,2,0
non communicable disease,1,0
household economic status,1,0
medical information,4,1
cultural anthropology,3,3
noncommunicable diseases,1,0
women’s health,1,0
non-communicable diseases (ncds),1,0
"anthropology, cultural",2,0
independent mobility,1,0
free travel,1,0
bus transport,1,0
london [england],1,0
london,1,0
bus,1,0
sexual and reproductive health outcomes,1,0
small and medium-sized organizations (smos),1,0
medium sized organizations,1,0
technology-organization-environment frameworks,1,0
bim adoption,1,0
technology-organization-environment (toe) framework,1,0
small and medium-sized organization,1,0
qualitative comparative analysis,1,0
block codes,1,0
configurations,1,0
building information modeling adoption,1,0
organizational aspects,1,0
configuration,1,0
technological aspects,1,0
qualitative comparative analysis (qca),1,0
building information modelling,1,0
qualitative comparative analyze,1,0
development factors,1,0
panel cointegration test,1,0
crypto asset-based payment system,1,0
decentralised intermediation,1,0
automated decision-making process,1,0
mutual help groups,1,0
platform economy,2,0
tax bargaining,1,0
digital currency electronic payment (dcep),2,0
token,4,1
cocoa output,1,0
extended linear regression,1,0
ashanti,2,0
endogenous switch regression,1,0
weather index-insurance,1,0
flood,1,0
nature-society relations,1,0
sidama,1,0
climate effect,1,0
digital operational resilience,1,0
digital finance strategy,1,0
clogit,1,0
dendrogram,1,0
panel vector autoregressive,1,0
tourism capital investment,1,0
smallholder farmer,1,0
willingness-to-pay,2,0
utility sector,1,0
microcredit loans,1,0
small and medium enterprises loans,1,0
interest rate ceilings,1,0
children’s healthcare expenses,1,0
children’s school attendance,1,0
honduras,1,0
female empowerment,2,0
doubly robust,1,0
pcse,2,0
fgls,3,0
entrepreneurialism,3,0
structural adjustment,1,0
shelter,1,0
housing policy,2,0
housing reform,1,0
negotiation process,1,0
self-help housing,2,0
public housing policy,1,0
buenos aires [argentina],1,0
housing (micro)finance,1,0
buenos aires,1,0
innovation management,4,0
catching-up,1,0
nairobi,1,0
predictive modelling,1,0
elasticnet,1,0
informal business,1,0
esg rating,1,0
microfinance investment vehicle,1,0
esg measurement,1,0
esg index construction,1,0
determinant,2,0
social factors,2,0
ols regression,2,0
macro-economic factors,1,0
small firm corporate sustainability,1,0
social responsibility and inclusion,1,0
emergency fund,1,0
household savings,4,0
return on assets,2,0
return on equity,1,0
balloon analogue risk task,1,0
online version,1,0
anterior cingulate,1,0
inferior frontal gyrus,1,0
dynamic factors,1,0
ecological validity,1,0
clinical decision making,1,0
task performance,1,0
appetite,3,0
punishment,1,0
online analysis,1,0
bank credits,1,0
state-level analysis,1,0
information communication technology diffusion,1,0
poverty and inequality,1,0
sdg10‌,1,0
sdg1,2,0
zero inflated negative binomial,1,0
adoption and intensity,1,0
factors,5,0
industrialisation,1,0
political violence,1,0
financial systems,4,0
monetary systems,2,0
perceived economic outcomes,1,0
causal inference,2,0
regularization,1,0
two-part model,1,0
loan conditions,1,0
female entrepreneurs. microfinance institutions,1,0
financial management behaviour,1,0
socio-economic empowerment,1,0
marketers,1,0
"business, management and accounting",11,6
"philip n. ndubueze, sociology, federal university dutse, dutse, nigeria",1,0
under banked,1,0
internet & multimedia,1,0
political,1,0
"economics, finance, business & industry",1,0
social sciences,1,0
social policies,1,0
social work and social policy,1,0
banking & finance law,1,0
financial services industry,1,0
financial regulatory governance,2,0
emerging and developing economies,1,0
system generalized method of moments,2,0
management and accounting,2,0
development studies,10,6
culture and development,1,0
middle east region,1,0
gender and development,4,0
states in transition,1,0
financial providers,1,0
marginalized counties,1,0
economics and development,9,5
demographic characteristics,3,0
mobile service usage,1,0
income diversification,2,0
alfred nzo,1,0
social structure,1,0
generational values,1,0
bonding and bridging social capital,2,0
reciprocation,1,0
poor households,7,2
analytic induction,1,0
pragmatic realism,1,0
longitudinal,2,0
mixed methodology,1,0
clusters,1,0
purchase intentions,1,0
relationship framework,1,0
individual acts,1,0
stock trading behaviors,1,0
tehran stock exchange,1,0
group acts,1,0
generation z,6,0
systematic mapping study,1,0
universal financial access,1,0
united nations sustainable development goals (sdg),1,0
continuance usage,1,0
m15,1,0
e4,2,0
technology disposition,1,0
low-income consumers,3,1
generalized least square,1,0
social & economic inequalities,1,0
small & medium enterprises,1,0
interest-free finance,1,0
skill training,1,0
structural equation model,4,0
kaouther kooli,1,0
consumer psychology,2,0
bournemouth university,1,0
status orientation,1,0
perceived behavioral control,2,0
"pablo ruiz, universidad de castilla-la mancha, spain",1,0
higher education management,1,0
entrepreneurship program,1,0
binary logistic regression,2,0
"wright len tiu, de montfort university faculty of business and law, united kingdom",1,0
asian studies,1,0
word of mouth,1,0
repurchase behaviours,1,0
internet / digital marketing / e-marketing,1,0
"kaouther kooli, bournemouth university, united kingdom of great britain and northern ireland",1,0
customer experiences,1,0
unbanked women,1,0
borrower switching,1,0
online p2p lending,1,0
micro finance,6,1
sustainability of smes,1,0
analytic hierarchy process,2,0
decision analysis,2,0
bottom of the pyramid,9,2
mobile systems,1,0
management of technology & innovation,1,0
technology selection,2,0
"business, management, and accounting",1,0
small and medium-sized enterprises,4,1
entrepreneurship and small business management,1,0
sme financing challenges,1,0
debt capital accessibility,1,0
gender & development,2,0
gender studies - soc sci,1,0
gen z,3,0
user perceptions,4,0
compliance practices,1,0
tam model,1,0
e-payment market,1,0
celebrity endorsement,1,0
women entrepreneur development,1,0
multi-dimensional barriers,1,0
women’s entrepreneurship,3,0
"gender stereotypes, entrepreneurial success",1,0
panel-corrected standard errors (pcses),1,0
banks and microfinance,1,0
arellano-bond dynamic panel estimation,1,0
awutu senya west district,1,0
rural savings mobilization,1,0
village savings and loans association,1,0
financial literacy programs,2,0
financial decisions and choices,1,0
political business cycles,1,0
election,1,0
banks’ pricing behaviour,1,0
g24,1,0
g00,1,0
information network,1,0
logit regression,2,0
afar region,1,0
credit analysis,1,0
monetary policy effectiveness,1,0
svar,1,0
job creation,2,0
hofstede,2,0
(in)formal institutions,1,0
poisson regression,1,0
negative interest rates,1,0
financial consultants,1,0
structure equation modelling,1,0
small saving schemes,1,0
panel system gmm,1,0
panel feasible generalised least squares,1,0
linkage,2,0
panel var granger causality test,1,0
traditional financial inclusion,2,0
n25,1,0
development and rural area,1,0
binary logistic model,3,0
foreign bank presence,1,0
uemoa,1,0
moveable assets,1,0
moveable collateral registry,1,0
sample selection,2,0
demand-side determinants,2,0
sustainability index,2,0
microfinance providers,2,0
national governance indicators,2,0
cash floats,1,0
agent liquidity,1,0
mobile money agents,2,0
unbanked rural population,1,0
agro-industrialization,1,0
microfinance sustainability,1,0
rural microfinance institutions,1,0
"samuel obeng, university of warwick, uk",1,0
gender matter,1,0
region,3,0
financial inclusion participation behavior,1,0
access to banking and digital channels,1,0
"aye goodness, university of agriculture, benue, nigeria",1,0
finance & economics,1,0
statistics for business,1,0
non-farm enterprises,1,0
livestock,2,0
"goodness aye, university of agriculture, makurdi benue state, nigeria",1,0
livelihood diversification,2,0
composite financial inclusion index,2,0
"goodness aye, university of agriculture, nigeria",1,0
literacy and socio-economic determinants,1,0
electronic payments,4,0
microfinance performance,1,0
optimization framework,2,0
statistical analysis,7,1
industry & industrial studies,1,0
latin american & hispanic studies,1,0
ordered logistic model,1,0
socio-behavioural,1,0
african studies,3,1
multidimensional energy poverty,1,0
provide,1,0
perspective,4,1
d12,3,0
health & development,1,0
research frontiers,1,0
bibliometric method,1,0
adult education and lifelong learning,1,0
gender studies—soc sci,1,0
fairlie decomposition technique,1,0
gender divide,2,0
pooled logistic regression,1,0
total loans,1,0
total deposits,1,0
sustainable growth rate,1,0
fixed effects,4,0
information & communication technology (ict),2,0
monetary economics,1,0
sustainability and green financing,1,0
financial stability and inclusion,1,0
"statistics for business, finance, and economics",1,0
(jel): g21,1,0
financial trust,1,0
public finance,4,0
micro-financial services providers (mfsps),1,0
citizens’ participatory mechanism,1,0
low-income population (lip),1,0
micro-financial services (mfss),1,0
micro-financial democracy,1,0
participatory financial inclusion (pfi),1,0
voicelessness,1,0
co-governance,1,0
highest pfi state,1,0
urban,2,0
economic psychology,1,0
inequalities,5,0
rif,1,0
oaxaca,2,0
ifls,1,0
household poverty,1,0
resource constraints,1,0
pan-african banks,1,0
indigenous african financial institutions,1,0
fintech and frugal innovations,1,0
financial institutions management,1,0
mergers & acquisitions,1,0
rural rwanda,1,0
qualitative explorative research,1,0
domestication perspective,1,0
"banking, rural communities",1,0
cross-cultural management,1,0
narratives,1,0
prison programming,1,0
predatory lenders,1,0
biometric identification technologies,1,0
normative gender identities,1,0
human kinds,1,0
individual development accounts,2,0
mixed methods,5,0
pilot projects,5,8
feasibility study,5,7
pilot randomized controlled trial,1,0
hospital admission,1,0
potential demand,1,0
microfinancing institutions,1,0
gender and finance,2,0
women-led enterprises,1,0
struggle,1,0
financial outcome,1,0
financial capability and asset building,1,0
personal savings and emergency funds,1,0
pan,1,0
acquisition systems,1,0
biometric systems,1,0
aadhar card,1,0
biometric recognition system,1,0
access technology,1,0
fingerprint scan,1,0
sim,1,0
coordinate,1,0
pixels,1,0
megapixel,1,0
facial recognition,4,1
wages,3,0
accounting units,1,0
information concerning,2,0
web-based system,1,0
notification process,1,0
compensation (personnel),1,0
confirmation systems,1,0
software testing,3,0
academic environment,1,0
waterfall methods,1,0
variability,1,0
grassland degradation,1,0
inner-mongolia,1,0
social-ecological system,1,0
social-ecological systems,1,0
mobile money and maize farmers' perception,1,0
credit supply,1,0
group members,1,0
descriptive statistics,3,1
sampling procedures,1,0
beef,1,0
group activities,1,0
economic life,1,0
skills development,3,0
government relations,1,0
product diversification,1,0
production process,1,0
intervention methods,1,0
educational institutions,1,0
descriptive studies,2,0
research tools,1,0
number of peoples,1,0
income generation,1,0
distance education,3,0
behavior finance,1,0
emerging adult,2,0
it identify,1,0
socioeconomic vulnerability,1,0
systemic financial barriers,1,0
sociology,4,0
systemic financial barrier,1,0
socio-economic vulnerability,1,0
future research directions,2,0
constraint theory,1,0
financial capability systems theory,1,0
financial capability system theory,1,0
financial identity,2,0
adult populations,1,0
asset holding,1,0
savings rates,1,0
occupational pensions,1,0
regional security,1,0
conflict management,1,0
peace process,1,0
political conflict,1,0
andhra pradesh,4,4
spatial finance,1,0
export selection,1,0
healthcare access,2,0
sexual abuse,1,0
self esteem,1,0
calculation,2,0
psychosocial factors,1,0
childhood,1,0
health behaviour,1,0
confidence interval,1,0
investment fraud,2,0
lottery scam,1,0
health and retirement study,1,0
gender differences,8,0
advance care planning,1,0
family dynamic,1,0
older immigrants,3,0
end-of-life,1,0
medline,1,0
embase,1,0
community networks,2,0
scopus,6,2
controlled clinical trial,4,5
allopathy,1,0
health system,1,0
coastal waters,1,0
exploratory research,1,0
traditional medicine,1,0
medical geography,1,0
rural health care,3,6
headache,2,0
pharmacy (shop),2,0
barriers to care,1,0
patient decision making,1,0
medicinal plant,1,0
public health service,3,3
population density,2,0
development gaps,1,0
cross-border banking,1,0
cross-border relations,1,0
market transition,1,0
scale development,2,0
online probability panel,1,0
experiment,2,0
question wording,1,0
cognitive ability,1,0
counselors,1,0
united states department of veterans affairs,1,0
veteran,1,0
"stress, psychological",5,8
occupations,1,0
work,4,0
"depressive disorder, major",1,0
psychosocial work stressors,1,0
banking working,1,0
working conditions,2,0
adverse effects,1,0
occupational exposure,1,0
workload,2,0
service delivery improvement,1,0
evolution of central banking,1,0
interbank market,1,0
central bank of kenya,1,0
safaricom,1,0
financial deepening,3,1
credit system,1,0
micro-saver,1,0
electronic payment systems,2,0
micro-savers,1,0
minority,2,0
finance indexes,3,1
hispanics,2,0
m&a,1,0
chinext,1,0
ipos,1,0
foreign funds,1,0
neeq,1,0
star market,1,0
service delivery,3,0
graduate students,2,0
abstract theory,2,0
one stop,2,0
challenges to the banking model,1,0
country perspective,1,0
regional,1,0
regulatory and policy perspectives,1,0
challenge to the banking model,1,0
banking services delivery,1,0
banking service delivery,1,0
country perspectives,1,0
regulatory and policy perspective,1,0
policy debates,1,0
big techs,1,0
trade off,3,1
policy goals,1,0
government projects,1,0
government supports,6,4
expansion projects,1,0
indigenous money management systems,1,0
value chains,4,0
crisis management,1,0
grameen,1,0
history,6,0
subsidy system,1,0
social investment,1,0
low-income countries,3,0
"mobile network operator, smallholder farmers",1,0
discrete-choice experiments,1,0
"digital credit, discrete choice experiment",1,0
poverty targeting,1,0
profit measurement,1,0
market field experiment,1,0
equity bank,1,0
personal autonomy,4,9
theoretical model,6,7
probability sample,1,0
plant seed,2,0
"models, theoretical",5,7
birth certificate,1,0
seed for oklahoma kids,1,0
budgets,1,0
goals,1,0
economic functioning,1,0
youths,1,0
vampire,1,0
elderly people,1,0
bank savings,1,0
credit elasticity,1,0
night lights,1,0
southeast asia,3,0
small scale industry,3,1
size,4,0
employer,3,6
preferred provider organization,2,0
workman compensation,1,0
"health benefit plans, employee",2,0
psychological model,3,2
"resilience, psychological",1,0
psychological,1,0
family practice,1,0
socioeconomic disparities in health,2,0
managed care programs,1,0
biomaterial,1,0
regulatory mechanism,1,0
prokaryote,1,0
icsp,1,0
awards and prizes,1,0
taxonomy,3,0
gene sequence,1,0
united states of america,3,0
national cultures,1,0
unit trusts,1,0
financial information,6,0
debts,2,0
utility theory,1,0
hawala banking,1,0
albania,4,0
migrant workers,6,0
networking,3,0
ideas generation,1,0
music industry,1,0
telephone banking,2,0
mobile communication systems,3,0
low pay,1,0
electronic funds transfer systems,1,0
exchange,2,0
small to medium sized enterprises,1,0
epayment,1,0
social welfare payments,1,0
citizen participation,2,0
egovernment,1,0
social welfare policy,1,0
social benefits,2,0
g2c,1,0
transformational government,1,0
well-being of family,1,0
development as freedom,1,0
best practices,1,0
individual behaviour,1,0
financial behaviours,3,0
urban communities,1,0
strategic innovation,1,0
post-independence,1,0
twentieth century,1,0
exchange networks,1,0
criticism,1,0
international ngos,1,0
economic effects,1,0
rural populations,2,0
agaliawamu,1,0
ekibiina,1,0
kweyamba,1,0
ekitebe,1,0
arguments,1,0
debate,1,0
public policies,3,0
low-income population,1,0
new product development,1,0
ethical marketing,1,0
ethical product development,1,0
ethical products,1,0
unicorns,1,0
startups,4,0
micro-atms,1,0
cer model,1,0
sustainable,4,0
financial viability,1,0
e-inclusiveness,1,0
social values,2,0
equity crowdfunding,4,0
peer-to-peer (p2p) lending,1,0
brand awareness,1,0
content strategy,1,0
community engagement,1,0
higher education institutions (heis),1,0
high education institution,1,0
higher education institutions,1,0
awareness program,1,0
methods of analysis,1,0
akhuwat foundation,1,0
qard hasan,1,0
social wellbeing,1,0
maqasid al-shari'ah,1,0
islamic sustainable finance,1,0
standardization,2,0
harmonization,1,0
decentralised finance,3,0
